season,season_year,population_reference_year,population_year,population_year_used,team_raw,club_name,city_he,city_en,settlement_code,population_total,district_he,subdistrict_he,municipal_status_he,team_attendance_raw,stadium,capacity,total_spectators,average_attendance,attendance_per_1000_residents,total_spectators_per_resident,average_attendance_pct_of_population,stadium_capacity_utilization_pct,team_budget_raw,budget_min_million_nis,budget_max_million_nis,budget_mid_million_nis,budget_min_nis,budget_max_nis,budget_mid_nis,data_source,source_note,budget_nis_per_resident,budget_million_nis_per_100k_residents,attendance_per_budget_million,total_spectators_per_budget_million,predicted_population_model,residual_population_model,residual_pct_population_model,predicted_budget_model,residual_budget_model,residual_pct_budget_model,predicted_market_budget_model,residual_market_budget_model,residual_pct_market_budget_model
2010/11,2010,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,4750,1583,46.937081183656524,0.1408408942655518,4.693708118365652,18.623529411764707,,,,,,,,,,,,,,3536.6899796885923,-1953.6899796885923,-55.2406343476172,,,,,,
2010/11,2010,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,5200,1733,32.769835867181,0.09832841691248771,3.2769835867181,34.660000000000004,,,,,,,,,,,,,,3689.1375381247303,-1956.1375381247303,-53.02425073365733,,,,,,
2010/11,2010,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,8500,2833,10.476954767513675,0.03143456248636295,1.0476954767513673,24.63478260869565,,,,,,,,,,,,,,5420.019700326961,-2587.0197003269614,-47.73081729151095,,,,,,
2010/11,2010,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,7800,2600,9.615277937005137,0.02884583381101541,0.9615277937005137,22.608695652173914,,,,,,,,,,,,,,5420.019700326961,-2820.0197003269614,-52.029694655110646,,,,,,
2010/11,2010,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,5700,1900,77.75095142611615,0.2332528542783484,7.775095142611614,13.768115942028986,,,,,,,,,,,,,,3462.7738417664036,-1562.7738417664036,-45.130693287471914,,,,,,
2010/11,2010,2024,2024,2024,H. Ramat Gan,Hapoel Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hapoel Ramat Gan,Unknown,41583,4500,1500,8.708677326087713,0.02612603197826314,0.8708677326087714,3.607243344636029,,,,,,,,,,,,,,4638.914951206501,-3138.9149512065014,-67.66485232479039,,,,,,
2010/11,2010,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,6000,3000,6.061830672863205,0.01212366134572641,0.6061830672863205,49.83388704318937,,,,,,,,,,,,,,7206.428486538347,-4206.428486538347,-58.37050203711841,,,,,,
2010/11,2010,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,25000,12500,25.257627803596687,0.050515255607193374,2.5257627803596687,42.881646655231556,Hapoel Tel Aviv,60.0,60.0,60.0,60000000.0,60000000.0,60000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",121.2366134572641,12.12366134572641,208.33333333333334,416.6666666666667,7206.428486538347,5293.571513461653,73.45624151200664,9338.150276176908,3161.849723823092,33.859486411237874,9385.54723870731,3114.4527612926904,33.183496732595955
2010/11,2010,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,25000,12500,25.257627803596687,0.050515255607193374,2.5257627803596687,42.881646655231556,Maccabi Tel Aviv,105.0,105.0,105.0,105000000.0,105000000.0,105000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",212.16407355021215,21.216407355021214,119.04761904761905,238.0952380952381,7206.428486538347,5293.571513461653,73.45624151200664,13717.774895682833,-1217.7748956828327,-8.877350043599876,13697.130666568926,-1197.1306665689262,-8.740010559224682
2011/12,2011,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,37950,2530,11.069206604772447,0.1660380990715867,1.1069206604772448,30.853658536585364,,,,,,,,,,,,,,5087.074805634067,-2557.074805634067,-50.26611369665805,,,,,,
2011/12,2011,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,49500,3536,15.8148729577301,0.22139033128044117,1.5814872957730102,21.927322336599282,,,,,,,,,,,,,,5047.486821334047,-1511.486821334047,-29.945334675179243,,,,,,
2011/12,2011,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,49200,3280,11.040685599647237,0.16561028399470856,1.1040685599647235,10.64243997404283,,,,,,,,,,,,,,5632.3226995479745,-2352.3226995479745,-41.764700373733234,,,,,,
2011/12,2011,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,124500,8893,29.934395438311853,0.4190748040110003,2.993439543831185,28.892137751786873,Maccabi Haifa,63.0,63.0,63.0,63000000.0,63000000.0,63000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",212.0619490176146,21.20619490176146,141.15873015873015,1976.1904761904761,5632.3226995479745,3260.6773004520255,57.892231578167795,9630.125250810637,-737.1252508106372,-7.6543682622257485,9433.11082786113,-540.11082786113,-5.725691531852755
2011/12,2011,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,85200,6086,5.7953570486530035,0.08113118970509955,0.5795357048653004,18.16716417910448,Beitar Jerusalem,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",30.94793034525511,3.0947930345255115,187.26153846153846,2621.5384615384614,11624.773787155538,-5538.773787155538,-47.646293068304246,6661.713008701065,-575.7130087010646,-8.642116644008958,7423.994831824948,-1337.994831824948,-18.022572242228318
2011/12,2011,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,28950,1930,8.219341430591282,0.12329012145886922,0.8219341430591282,14.180749448934607,,,,,,,,,,,,,,5136.808454252184,-3206.8084542521838,-62.42803255779626,,,,,,
2011/12,2011,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,48450,3461,102.62112316906838,1.4365771215086283,10.262112316906839,40.71764705882353,,,,,,,,,,,,,,3536.6899796885923,-75.6899796885923,-2.140136119458705,,,,,,
2011/12,2011,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,34500,2300,43.491415172831104,0.6523712275924666,4.34914151728311,46.0,,,,,,,,,,,,,,3689.1375381247303,-1389.1375381247303,-37.65480478211879,,,,,,
2011/12,2011,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,41300,2753,10.18110006175967,0.15273499184550468,1.0181100061759671,23.93913043478261,,,,,,,,,,,,,,5420.019700326961,-2667.0197003269614,-49.20682668673832,,,,,,
2011/12,2011,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,28180,1879,6.948887401397174,0.10421482010184799,0.6948887401397175,16.339130434782607,,,,,,,,,,,,,,5420.019700326961,-3541.0197003269614,-65.33222932959728,,,,,,
2011/12,2011,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,42400,2827,115.68523141138436,1.7350738634038547,11.568523141138437,20.485507246376812,,,,,,,,,,,,,,3462.7738417664036,-635.7738417664036,-18.36024732825426,,,,,,
2011/12,2011,2024,2024,2024,H Rishon leZion,Hapoel Rishon LeZion,ראשון לציון,Rishon LeZion,8300,259275.0,המרכז,רחובות,עירייה,Hapoel Rishon leZion,Unknown,6000,26300,1753,6.761160929514994,0.10143669848616334,0.6761160929514994,29.21666666666667,,,,,,,,,,,,,,5331.469933635379,-3578.4699336353788,-67.11976205772807,,,,,,
2011/12,2011,2024,2024,2024,Ramat haSharon,Hapoel Nir Ramat HaSharon,רמת השרון,Ramat HaSharon,2650,48860.0,תל אביב,תל אביב,עירייה,Hapoel Ramat haSharon,Unknown,4300,15850,1057,21.63323782234957,0.3243962341383545,2.163323782234957,24.58139534883721,,,,,,,,,,,,,,3657.1170257984427,-2600.1170257984427,-71.09745210384047,,,,,,
2011/12,2011,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,41800,2787,5.631440695089917,0.08446150737522731,0.5631440695089917,46.29568106312292,,,,,,,,,,,,,,7206.428486538347,-4419.428486538347,-61.326196392483,,,,,,
2011/12,2011,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,127200,8480,17.13477470195999,0.25702162052939986,1.7134774701959992,29.09090909090909,Hapoel Tel Aviv,47.0,47.0,47.0,47000000.0,47000000.0,47000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",94.96868054152354,9.496868054152355,180.4255319148936,2706.3829787234044,7206.428486538347,1273.571513461653,17.672714241745304,8072.925386097419,407.0746139025814,5.042467190438977,8139.978692880621,340.02130711937934,4.177176869231468
2011/12,2011,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,130500,8700,17.579308951303293,0.2636896342695494,1.7579308951303294,29.845626072041163,Maccabi Tel Aviv,88.0,88.0,88.0,88000000.0,88000000.0,88000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",177.81369973732066,17.781369973732065,98.86363636363636,1482.9545454545455,7206.428486538347,1493.571513461653,20.72554409235662,12063.250039425038,-3363.2500394250383,-27.880132040978054,12068.31026048787,-3368.3102604878695,-27.910371773551862
2012/13,2012,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,32500,2500,10.937951190486608,0.1421933654763259,1.0937951190486608,30.48780487804878,,,,,,,,,,,,,,5087.074805634067,-2587.074805634067,-50.85584357377279,,,,,,
2012/13,2012,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,62250,4788,21.414482952944493,0.27841511357994875,2.1414482952944494,29.691181942205137,,,,,,,,,,,,,,5047.486821334047,-259.4868213340469,-5.140911319218952,,,,,,
2012/13,2012,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,52400,4031,13.568598674444516,0.17638168457973025,1.3568598674444514,13.079169370538612,,,,,,,,,,,,,,5632.3226995479745,-1601.3226995479745,-28.43094731906056,,,,,,
2012/13,2012,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,142500,10962,36.89877912906494,0.4796639323017473,3.689877912906494,35.6140350877193,Maccabi Haifa,60.0,70.0,65.0,60000000.0,70000000.0,65000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",218.79407438325316,21.879407438325316,168.64615384615385,2192.3076923076924,5632.3226995479745,5329.6773004520255,94.6266324704684,9824.775233899789,1137.2247661002111,11.575071582058044,9624.736757988312,1337.263242011688,13.894024071897757
2012/13,2012,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,127000,9769,9.302471739778376,0.12093498934915074,0.9302471739778375,29.161194029850744,Beitar Jerusalem,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",30.94793034525511,3.0947930345255115,300.5846153846154,3907.6923076923076,11624.773787155538,-1855.7737871555382,-15.963956126234665,6661.713008701065,3107.2869912989354,46.643963605763474,7423.994831824948,2345.005168175052,31.586837293077814
2012/13,2012,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,62500,4808,20.475955232270923,0.26617038311500263,2.047595523227092,35.3269654665687,,,,,,,,,,,,,,5136.808454252184,-328.80845425218376,-6.401026185432325,,,,,,
2012/13,2012,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,33400,2569,76.17268576172685,0.9903338670461959,7.617268576172685,30.223529411764705,,,,,,,,,,,,,,3536.6899796885923,-967.6899796885923,-27.361459026549962,,,,,,
2012/13,2012,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,26650,2050,38.7640874366538,0.5039331366764995,3.8764087436653805,41.0,,,,,,,,,,,,,,3689.1375381247303,-1639.1375381247303,-44.43145643623631,,,,,,
2012/13,2012,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,25000,1923,78.69214715390596,1.0230388345541597,7.869214715390596,13.934782608695654,,,,,,,,,,,,,,3462.7738417664036,-1539.7738417664036,-44.466485890425524,,,,,,
2012/13,2012,2024,2024,2024,H. Ramat Gan,Hapoel Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hapoel Ramat Gan,Unknown,41583,25750,1981,11.50125985531984,0.14949896076450575,1.150125985531984,4.763966043815983,,,,,,,,,,,,,,4638.914951206501,-2657.9149512065014,-57.296048303606504,,,,,,
2012/13,2012,2024,2024,2024,Ramat haSharon,Hapoel Nir Ramat HaSharon,רמת השרון,Ramat HaSharon,2650,48860.0,תל אביב,תל אביב,עירייה,Hapoel Ramat haSharon,Unknown,4300,18450,1419,29.042161277118296,0.37760949652067133,2.90421612771183,33.0,,,,,,,,,,,,,,3657.1170257984427,-2238.1170257984427,-61.19894468812641,,,,,,
2012/13,2012,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3769,7.615679935340473,0.09900990099009901,0.7615679935340472,62.60797342192691,,,,,,,,,,,,,,7206.428486538347,-3437.428486538347,-47.69947405929976,,,,,,
2012/13,2012,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,119640,9203,18.595675894120024,0.2417458072337846,1.8595675894120023,31.571183533447684,Hapoel Tel Aviv,40.0,50.0,45.0,40000000.0,50000000.0,45000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",90.92746009294807,9.092746009294807,204.51111111111112,2658.6666666666665,7206.428486538347,1996.571513461653,27.705423250799765,7878.275403008267,1324.724596991733,16.814905918189858,7948.352762753438,1254.6472372465623,15.784996900564494
2012/13,2012,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,139900,10762,21.745807233784603,0.2826833703778541,2.17458072337846,36.919382504288166,Maccabi Tel Aviv,105.0,105.0,105.0,105000000.0,105000000.0,105000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",212.16407355021215,21.216407355021214,102.4952380952381,1332.3809523809523,7206.428486538347,3555.571513461653,49.338885692177236,13717.774895682833,-2955.7748956828327,-21.547043293537747,13697.130666568926,-2935.1306665689262,-21.428799491070084
2013/14,2013,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,32050,2465,10.784819873819796,0.14022453426203832,1.0784819873819795,30.060975609756095,,,,,,,,,,,,,,5087.074805634067,-2622.074805634067,-51.54386176373996,,,,,,
2013/14,2013,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,99000,7615,34.05833076162747,0.44278066256088233,3.4058330761627467,47.221877713010045,,,,,,,,,,,,,,5047.486821334047,2567.513178665953,50.86715962910352,,,,,,
2013/14,2013,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,49750,4146,13.955695882968733,0.16746161847025914,1.3955695882968733,13.45230369889682,,,,,,,,,,,,,,5632.3226995479745,-1486.3226995479745,-26.389160899237186,,,,,,
2013/14,2013,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,124700,9592,32.28727325360253,0.41974801654756416,3.2287273253602526,31.163092917478885,Maccabi Haifa,50.0,60.0,55.0,50000000.0,60000000.0,55000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",185.13344755506037,18.513344755506036,174.4,2267.2727272727275,5632.3226995479745,3959.6773004520255,70.30274207778989,8851.525318454027,740.474681545973,8.365503739815336,8666.607107352398,925.3928926476019,10.67768367926286
2013/14,2013,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,119040,9920,9.446260585382484,0.1133551270245898,0.9446260585382483,29.61194029850746,Beitar Jerusalem,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",30.94793034525511,3.0947930345255115,305.2307692307692,3662.769230769231,11624.773787155538,-1704.7737871555382,-14.665006118563609,6661.713008701065,3258.2869912989354,48.91064786254209,7423.994831824948,2496.005168175052,33.62078267451447
2013/14,2013,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,49800,3831,113.5918875644903,1.4766055861946272,11.359188756449031,45.07058823529412,,,,,,,,,,,,,,3536.6899796885923,294.3100203114077,8.32162338236166,,,,,,
2013/14,2013,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,33000,3000,56.72793283412753,0.6240072611754027,5.672793283412752,60.0,,,,,,,,,,,,,,3689.1375381247303,-689.1375381247303,-18.680180150589727,,,,,,
2013/14,2013,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,37500,2885,10.669260326253777,0.13868189332218947,1.0669260326253778,25.08695652173913,,,,,,,,,,,,,,5420.019700326961,-2535.0197003269614,-46.771411184613164,,,,,,
2013/14,2013,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,26250,2019,82.62061627859393,1.0741907762818677,8.262061627859394,14.630434782608695,,,,,,,,,,,,,,3462.7738417664036,-1443.7738417664036,-41.69414197231884,,,,,,
2013/14,2013,2024,2024,2024,Ramat haSharon,Hapoel Nir Ramat HaSharon,רמת השרון,Ramat HaSharon,2650,48860.0,תל אביב,תל אביב,עירייה,Hapoel Ramat haSharon,Unknown,4300,15700,1208,24.72370036839951,0.3213262382316824,2.472370036839951,28.093023255813954,,,,,,,,,,,,,,3657.1170257984427,-2449.1170257984427,-66.96851669010339,,,,,,
2013/14,2013,2024,2024,2024,Hapoel Raanana,Hapoel Raanana,רעננה,Raanana,8700,82963.0,המרכז,פתח תקווה,עירייה,Hapoel Raanana,Unknown,5800,23250,1788,21.551776092957102,0.2802454106047274,2.15517760929571,30.82758620689655,,,,,,,,,,,,,,3928.4876848102194,-2140.4876848102194,-54.48630253027314,,,,,,
2013/14,2013,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,62400,4800,9.698929076581127,0.12608607799555466,0.9698929076581128,79.734219269103,,,,,,,,,,,,,,7206.428486538347,-2406.428486538347,-33.39280325938945,,,,,,
2013/14,2013,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,132393,10184,20.57789452414629,0.26751464942412606,2.057789452414629,34.93653516295026,Hapoel Tel Aviv,40.0,40.0,40.0,40000000.0,40000000.0,40000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",80.8244089715094,8.082440897150938,254.6,3309.825,7206.428486538347,2977.571513461653,41.31826908466205,7391.650445285386,2792.349554714614,37.777078006924114,7469.287937435481,2714.7120625645193,36.34499145438747
2013/14,2013,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,165948,12765,25.79308951303294,0.33531622550010104,2.5793089513032936,43.79073756432247,Maccabi Tel Aviv,130.0,130.0,130.0,130000000.0,130000000.0,130000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",262.67932915740556,26.267932915740552,98.1923076923077,1276.5230769230768,7206.428486538347,5558.571513461653,77.13351383206118,16150.899684297237,-3385.8996842972374,-20.96415525129655,16092.454793158711,-3327.4547931587113,-20.6771113290515
2014/15,2014,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,23360,2920,12.775526990488357,0.10220421592390685,1.2775526990488357,35.609756097560975,,,,,,,,,,,,,,5087.074805634067,-2167.074805634067,-42.599625294166614,,,,,,
2014/15,2014,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,96000,7385,33.0296484142638,0.42936306672570407,3.30296484142638,45.79560957460003,Hapoel Be'er Sheva,39.0,39.0,39.0,39000000.0,39000000.0,39000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",174.4287458573173,17.44287458573173,189.35897435897436,2461.5384615384614,5047.486821334047,2337.513178665953,46.31043648863159,7294.32545374081,90.67454625918981,1.2430833643800254,7044.47752065235,340.52247934765,4.833892625100124
2014/15,2014,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,34330,8583,28.890916006637877,0.11555693190118586,2.8890916006637877,27.848799480856584,,,,,,,,,,,,,,5632.3226995479745,2950.6773004520255,52.38828557690478,,,,,,
2014/15,2014,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,306588,23584,79.38522231160988,1.0319944258001972,7.938522231160988,76.62118258609487,Maccabi Haifa,84.0,84.0,84.0,84000000.0,84000000.0,84000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",282.7492653568195,28.274926535681946,280.76190476190476,3649.8571428571427,5632.3226995479745,17951.677300452026,318.7260080444742,11673.950073246735,11910.049926753265,102.02245043044687,11445.18309419655,12138.81690580345,106.0604868082767
2014/15,2014,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,95200,11900,11.331703726416487,0.09065362981133189,1.1331703726416487,35.52238805970149,Beitar Jerusalem,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",30.94793034525511,3.0947930345255115,366.15384615384613,2929.230769230769,11624.773787155538,275.22621284446177,2.3675833859972837,6661.713008701065,5238.286991298935,78.6327328189769,7423.994831824948,4476.005168175052,60.29105986156475
2014/15,2014,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,37700,7540,32.11079501899391,0.1605539750949696,3.2110795018993916,55.40044085231447,,,,,,,,,,,,,,5136.808454252184,2403.1915457478162,46.78374845296179,,,,,,
2014/15,2014,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,14400,2880,85.39405799679773,0.4269702899839886,8.539405799679772,33.88235294117647,,,,,,,,,,,,,,3536.6899796885923,-656.6899796885923,-18.567926039884735,,,,,,
